"image 1","372.12589999999994"
"image 2","369.80199999999996"
"image 3","373.00749999999994"
"image 4","370.96079999999995"
"image 5","371.3319000000001"
"image 6","370.8643999999999"
"image 7","371.494"
"image 8","372.2804999999999"
"image 9","373.09729999999996"
"image 10","370.75689999999986"
"image 11","370.2871999999999"
"image 12","370.55009999999993"
"image 13","370.0170000000001"
"image 14","373.04589999999996"
"image 15","371.2923000000001"
"image 16","373.4700000000001"
"image 17","368.5618"
"image 18","369.94010000000003"
"image 19","373.1516"
"image 20","369.62789999999984"
"image 21","371.0354000000001"
"image 22","374.3868"
"image 23","372.9941000000002"
"image 24","373.5862000000002"
"image 25","369.8244000000002"
"image 26","370.81339999999994"
"image 27","371.25619999999986"
"image 28","371.3523"
"image 29","372.3219"
"image 30","369.68289999999996"
"image 31","371.5994000000001"
"image 32","373.67499999999984"
"image 33","369.79769999999985"
"image 34","372.41200000000003"
"image 35","371.06630000000007"
"image 36","371.0307000000001"
"image 37","374.07100000000014"
"image 38","369.68580000000003"
"image 39","369.26489999999984"
"image 40","372.8561"
"image 41","373.0769"
"image 42","373.16850000000005"
"image 43","370.51329999999984"
"image 44","370.86"
"image 45","371.69899999999996"
"image 46","369.0961999999999"
"image 47","374.2951999999999"
"image 48","371.3226000000001"
"image 49","373.50589999999994"
"image 50","370.9412000000001"
"image 51","372.93199999999996"
"image 52","373.33649999999994"
"image 53","370.9575000000001"
"image 54","372.80909999999994"
"image 55","372.7725"
"image 56","369.7132"
"image 57","370.8751"
"image 58","370.4732000000001"
"image 59","369.9621000000001"
"image 60","370.9799000000001"
"image 61","375.58169999999996"
"image 62","373.7031999999999"
"image 63","374.0057"
"image 64","370.50719999999995"
"image 65","371.3943000000001"
"image 66","370.41369999999995"
"image 67","374.56899999999996"
"image 68","372.9067000000001"
"image 69","374.1107000000001"
"image 70","370.24760000000003"
"image 71","372.1503"
"image 72","373.7665999999997"
"image 73","371.1492999999999"
"image 74","372.07160000000016"
"image 75","370.6909000000001"
"image 76","370.24410000000006"
"image 77","371.1515000000001"
"image 78","373.2965999999999"
"image 79","372.38620000000003"
"image 80","372.6461"
"image 81","372.94370000000004"
"image 82","371.40749999999986"
"image 83","370.95130000000006"
"image 84","369.9118"
"image 85","371.4226999999999"
"image 86","369.50899999999984"
"image 87","372.3914999999999"
"image 88","371.85139999999984"
"image 89","371.22769999999997"
"image 90","369.2743999999999"
"image 91","369.86170000000016"
"image 92","373.4337000000001"
"image 93","374.00170000000014"
"image 94","372.2645"
"image 95","370.3931"
"image 96","370.42650000000015"
"image 97","369.5916999999999"
"image 98","372.1041000000002"
"image 99","372.5805999999999"
"image 100","369.76249999999976"
