"Imagens","Energia","Tempo"
"image 1","180.98069999999998","7.259648034250001"
"image 2","187.1655000000001","7.1493274087400005"
"image 3","184.47359999999998","7.246422248990002"
"image 4","187.1439","7.17588527053"
"image 5","187.9163","7.1485252910599995"
"image 6","186.9105999999999","7.173466643299999"
"image 7","187.50829999999993","7.145555836919999"
"image 8","187.3952999999999","7.1508477606600005"
"image 9","181.7964","7.247003813540001"
"image 10","187.3795","7.15064676176"
"image 11","188.2252000000001","7.138173826689999"
"image 12","188.00439999999998","7.14091983133"
"image 13","188.23360000000008","7.163404003019998"
"image 14","179.4153","7.269037808900001"
"image 15","184.21690000000007","7.201603579689999"
"image 16","182.3022","7.2344158854700025"
"image 17","187.0581999999999","7.1387468395299996"
"image 18","186.02949999999998","7.173278189629998"
"image 19","183.6061000000001","7.273398232580002"
"image 20","188.43769999999998","7.133213086219996"
"image 21","185.8509","7.172789398849997"
"image 22","186.69929999999997","7.17168799358"
"image 23","183.97520000000003","7.224089763490003"
"image 24","182.4861","7.256288796960006"
"image 25","187.9266999999999","7.138186742899997"
"image 26","185.32569999999996","7.1878445448499955"
"image 27","185.18700000000004","7.195158618849998"
"image 28","184.29209999999995","7.194545304330002"
"image 29","182.60449999999994","7.236665617760002"
"image 30","185.4157","7.188618611669997"
"image 31","185.2071","7.181930264370001"
"image 32","175.87829999999994","7.341774000120003"
"image 33","182.34690000000006","7.227461202679999"
"image 34","184.75709999999998","7.203385611150005"
"image 35","186.68570000000003","7.173946585979999"
"image 36","186.33180000000004","7.177401327349998"
"image 37","178.18349999999995","7.3066678824499975"
"image 38","186.3095","7.17879102209"
"image 39","187.3297","7.166362826360001"
"image 40","184.41730000000007","7.221396551349999"
"image 41","185.7002000000001","7.19895861676"
"image 42","186.0582","7.18362104105"
"image 43","187.89949999999996","7.172096056730002"
"image 44","185.60060000000001","7.182860749149998"
"image 45","183.9608","7.21330362555"
"image 46","187.55399999999997","7.1640288943099995"
"image 47","179.1733999999999","7.3165471924100025"
"image 48","184.35039999999998","7.21147801185"
"image 49","178.99510000000006","7.308736748400001"
"image 50","184.81730000000005","7.18382987217"
"image 51","181.78360000000004","7.25187921826"
"image 52","182.39720000000005","7.248348274449998"
"image 53","182.87539999999998","7.2232706210199975"
"image 54","185.50599999999997","7.188210093099996"
"image 55","182.50279999999998","7.240266310109998"
"image 56","187.95100000000002","7.148705735600001"
"image 57","184.98009999999994","7.1892775649899985"
"image 58","187.9245999999999","7.148208978720003"
"image 59","184.35990000000004","7.204770971260001"
"image 60","186.76620000000005","7.159850203230003"
"image 61","185.64320000000004","7.197674251930002"
"image 62","181.2793","7.253125348530002"
"image 63","183.22440000000006","7.217043406880001"
"image 64","186.93980000000008","7.151521188819999"
"image 65","185.40030000000007","7.197615705990001"
"image 66","186.73290000000006","7.20302412144"
"image 67","178.29220000000004","7.295653999170002"
"image 68","185.9835","7.200871744799998"
"image 69","182.2427","7.261614997590001"
"image 70","185.97819999999993","7.178309741370001"
"image 71","186.18810000000002","7.166380821330002"
"image 72","178.38350000000003","7.308287619569996"
"image 73","188.01899999999995","7.14332658128"
"image 74","187.0795","7.167637328650001"
"image 75","188.43240000000006","7.143791750140002"
"image 76","185.1653","7.1711334183699975"
"image 77","182.63890000000004","7.2402247842700005"
"image 78","185.5382","7.192102776260001"
"image 79","186.47120000000004","7.180696932219998"
"image 80","184.52970000000002","7.203052119009999"
"image 81","183.13510000000008","7.225418209010001"
"image 82","188.44449999999998","7.13174256943"
"image 83","183.3784","7.213379640889998"
"image 84","188.65490000000008","7.142551238610001"
"image 85","187.83240000000006","7.153713476730001"
"image 86","187.60509999999988","7.145588882129999"
"image 87","183.82819999999995","7.228822660430003"
"image 88","188.2612","7.1338806727299975"
"image 89","183.2598999999999","7.229397413760001"
"image 90","185.69819999999993","7.173013615459997"
"image 91","188.3285","7.153690235399997"
"image 92","184.0134999999999","7.21004433428"
"image 93","176.87290000000004","7.335377070030001"
"image 94","187.2662","7.146548328900003"
"image 95","186.2168","7.169109486250003"
"image 96","187.7385","7.140789320020002"
"image 97","187.79899999999998","7.159218104799999"
"image 98","181.94729999999998","7.24293409964"
"image 99","184.12879999999993","7.19450251728"
"image 100","186.69490000000002","7.170756767170003"
